ID,DICO,Concelho,Distrito,Local,ZonaNeve,Cz,ZonaSismica1,Acel1,ZonaSismica2,Acel2,ZonaTmin,Tmin,ZonaTmax,Tmax,Alt_Max,Alt_Min,ZonaVento,
230,4401,Santa Cruz da Graciosa,Ilha da Graciosa,Açores,Z3,0.1,-,0.00,2.2,2.00,Zona C,5,Zona C,35,402,0,Zona B,
120,4801,Lajes das Flores,Ilha das Flores,Açores,Z3,0.1,-,0.00,2.4,1.10,Zona C,5,Zona C,35,830,0,Zona B,
231,4802,Santa Cruz das Flores,Ilha das Flores,Açores,Z3,0.1,-,0.00,2.4,1.10,Zona C,5,Zona C,35,914,0,Zona B,
286,4101,Vila do Porto,Ilha de Santa Maria,Açores,Z3,0.1,-,0.00,2.2,2.00,Zona C,5,Zona C,35,587,0,Zona B,
57,4501,Calheta de São Jorge,Ilha de São Jorge,Açores,Z3,0.1,-,0.00,2.1,2.50,Zona C,5,Zona C,35,942,0,Zona B,
277,4502,Velas,Ilha de São Jorge,Açores,Z3,0.1,-,0.00,2.1,2.50,Zona C,5,Zona C,35,1053,0,Zona B,
118,4201,Lagoa,Ilha de São Miguel,Açores,Z3,0.1,-,0.00,2.1,2.50,Zona C,5,Zona C,35,947,0,Zona B,
171,4202,Nordeste,Ilha de São Miguel,Açores,Z3,0.1,-,0.00,2.1,2.50,Zona C,5,Zona C,35,1103,0,Zona B,
201,4203,Ponta Delgada,Ilha de São Miguel,Açores,Z3,0.1,-,0.00,2.1,2.50,Zona C,5,Zona C,35,873,0,Zona B,
215,4204,Povoação,Ilha de São Miguel,Açores,Z3,0.1,-,0.00,2.1,2.50,Zona C,5,Zona C,35,1103,0,Zona B,
223,4205,Ribeira Grande,Ilha de São Miguel,Açores,Z3,0.1,-,0.00,2.1,2.50,Zona C,5,Zona C,35,877,0,Zona B,
289,4206,Vila Franca do Campo,Ilha de São Miguel,Açores,Z3,0.1,-,0.00,2.1,2.50,Zona C,5,Zona C,35,947,0,Zona B,
82,4901,Corvo,Ilha do Corvo,Açores,Z3,0.1,-,0.00,2.4,1.10,Zona C,5,Zona C,35,718,0,Zona B,
114,4701,Horta,Ilha do Faial,Açores,Z3,0.1,-,0.00,2.1,2.50,Zona C,5,Zona C,35,1043,0,Zona B,
121,4601,Lajes do Pico,Ilha do Pico,Açores,Z3,0.1,-,0.00,2.1,2.50,Zona C,5,Zona C,35,2351,0,Zona B,
133,4602,Madalena,Ilha do Pico,Açores,Z3,0.1,-,0.00,2.1,2.50,Zona C,5,Zona C,35,2351,0,Zona B,
